,Name,Fxс,s,alpha
0,gga_x_pbe gga_c_pbe,1.1304631465620558,0.0,0.0
1,gga_x_pbe gga_c_pbe,1.1304631467472326,0.005005005005005005,0.0
2,gga_x_pbe gga_c_pbe,1.1304631495243704,0.01001001001001001,0.0
3,gga_x_pbe gga_c_pbe,1.1304631615544358,0.015015015015015015,0.0
4,gga_x_pbe gga_c_pbe,1.1304631939261984,0.02002002002002002,0.0
5,gga_x_pbe gga_c_pbe,1.1304632621370174,0.025025025025025023,0.0
6,gga_x_pbe gga_c_pbe,1.1304633860660247,0.03003003003003003,0.0
7,gga_x_pbe gga_c_pbe,1.1304635899398017,0.035035035035035036,0.0
8,gga_x_pbe gga_c_pbe,1.1304639022906553,0.04004004004004004,0.0
9,gga_x_pbe gga_c_pbe,1.1304643559076322,0.04504504504504504,0.0
10,gga_x_pbe gga_c_pbe,1.1304649877804247,0.050050050050050046,0.0
11,gga_x_pbe gga_c_pbe,1.1304658390363573,0.055055055055055056,0.0
12,gga_x_pbe gga_c_pbe,1.130466954870644,0.06006006006006006,0.0
13,gga_x_pbe gga_c_pbe,1.1304683844701469,0.06506506506506507,0.0
14,gga_x_pbe gga_c_pbe,1.130470180930868,0.07007007007007007,0.0
15,gga_x_pbe gga_c_pbe,1.1304724011694414,0.07507507507507508,0.0
16,gga_x_pbe gga_c_pbe,1.1304751058288875,0.08008008008008008,0.0
17,gga_x_pbe gga_c_pbe,1.1304783591789243,0.08508508508508508,0.0
18,gga_x_pbe gga_c_pbe,1.1304822290111383,0.09009009009009009,0.0
19,gga_x_pbe gga_c_pbe,1.130486786529321,0.09509509509509509,0.0
20,gga_x_pbe gga_c_pbe,1.1304921062353015,0.10010010010010009,0.0
21,gga_x_pbe gga_c_pbe,1.1304982658106009,0.10510510510510511,0.0
22,gga_x_pbe gga_c_pbe,1.130505345994251,0.11011011011011011,0.0
23,gga_x_pbe gga_c_pbe,1.130513430457118,0.11511511511511512,0.0
24,gga_x_pbe gga_c_pbe,1.130522605673086,0.12012012012012012,0.0
25,gga_x_pbe gga_c_pbe,1.130532960787436,0.12512512512512514,0.0
26,gga_x_pbe gga_c_pbe,1.1305445874827909,0.13013013013013014,0.0
27,gga_x_pbe gga_c_pbe,1.1305575798429588,0.13513513513513514,0.0
28,gga_x_pbe gga_c_pbe,1.1305720342150358,0.14014014014014015,0.0
29,gga_x_pbe gga_c_pbe,1.1305880490701032,0.14514514514514515,0.0
30,gga_x_pbe gga_c_pbe,1.1306057248628674,0.15015015015015015,0.0
31,gga_x_pbe gga_c_pbe,1.1306251638905693,0.15515515515515516,0.0
32,gga_x_pbe gga_c_pbe,1.1306464701514962,0.16016016016016016,0.0
33,gga_x_pbe gga_c_pbe,1.1306697492034088,0.16516516516516516,0.0
34,gga_x_pbe gga_c_pbe,1.1306951080221967,0.17017017017017017,0.0
35,gga_x_pbe gga_c_pbe,1.1307226548610603,0.17517517517517517,0.0
36,gga_x_pbe gga_c_pbe,1.1307524991105065,0.18018018018018017,0.0
37,gga_x_pbe gga_c_pbe,1.130784751159433,0.18518518518518517,0.0
38,gga_x_pbe gga_c_pbe,1.1308195222575719,0.19019019019019018,0.0
39,gga_x_pbe gga_c_pbe,1.1308569243795334,0.19519519519519518,0.0
40,gga_x_pbe gga_c_pbe,1.1308970700906964,0.20020020020020018,0.0
41,gga_x_pbe gga_c_pbe,1.1309400724151641,0.20520520520520522,0.0
42,gga_x_pbe gga_c_pbe,1.1309860447059978,0.21021021021021022,0.0
43,gga_x_pbe gga_c_pbe,1.1310351005179218,0.21521521521521522,0.0
44,gga_x_pbe gga_c_pbe,1.131087353482683,0.22022022022022023,0.0
45,gga_x_pbe gga_c_pbe,1.1311429171872311,0.22522522522522523,0.0
46,gga_x_pbe gga_c_pbe,1.131201905054868,0.23023023023023023,0.0
47,gga_x_pbe gga_c_pbe,1.1312644302295136,0.23523523523523523,0.0
48,gga_x_pbe gga_c_pbe,1.1313306054631993,0.24024024024024024,0.0
49,gga_x_pbe gga_c_pbe,1.1314005430069105,0.24524524524524524,0.0
50,gga_x_pbe gga_c_pbe,1.1314743545048667,0.2502502502502503,0.0
51,gga_x_pbe gga_c_pbe,1.1315521508923232,0.2552552552552553,0.0
52,gga_x_pbe gga_c_pbe,1.1316340422969693,0.2602602602602603,0.0
53,gga_x_pbe gga_c_pbe,1.1317201379439696,0.2652652652652653,0.0
54,gga_x_pbe gga_c_pbe,1.1318105460647052,0.2702702702702703,0.0
55,gga_x_pbe gga_c_pbe,1.1319053738092384,0.2752752752752753,0.0
56,gga_x_pbe gga_c_pbe,1.1320047271625266,0.2802802802802803,0.0
57,gga_x_pbe gga_c_pbe,1.1321087108643972,0.2852852852852853,0.0
58,gga_x_pbe gga_c_pbe,1.132217428333283,0.2902902902902903,0.0
59,gga_x_pbe gga_c_pbe,1.1323309815937097,0.2952952952952953,0.0
60,gga_x_pbe gga_c_pbe,1.1324494712075166,0.3003003003003003,0.0
61,gga_x_pbe gga_c_pbe,1.132572996208787,0.3053053053053053,0.0
62,gga_x_pbe gga_c_pbe,1.1327016540424515,0.3103103103103103,0.0
63,gga_x_pbe gga_c_pbe,1.1328355405065225,0.3153153153153153,0.0
64,gga_x_pbe gga_c_pbe,1.1329747496979135,0.3203203203203203,0.0
65,gga_x_pbe gga_c_pbe,1.1331193739617853,0.3253253253253253,0.0
66,gga_x_pbe gga_c_pbe,1.133269503844362,0.3303303303303303,0.0
67,gga_x_pbe gga_c_pbe,1.133425228049148,0.3353353353353353,0.0
68,gga_x_pbe gga_c_pbe,1.1335866333964768,0.34034034034034033,0.0
69,gga_x_pbe gga_c_pbe,1.1337538047863183,0.34534534534534533,0.0
70,gga_x_pbe gga_c_pbe,1.1339268251642614,0.35035035035035034,0.0
71,gga_x_pbe gga_c_pbe,1.1341057754905979,0.35535535535535534,0.0
72,gga_x_pbe gga_c_pbe,1.1342907347124176,0.36036036036036034,0.0
73,gga_x_pbe gga_c_pbe,1.1344817797386275,0.36536536536536535,0.0
74,gga_x_pbe gga_c_pbe,1.1346789854178108,0.37037037037037035,0.0
75,gga_x_pbe gga_c_pbe,1.1348824245188334,0.37537537537537535,0.0
76,gga_x_pbe gga_c_pbe,1.1350921677141026,0.38038038038038036,0.0
77,gga_x_pbe gga_c_pbe,1.1353082835653958,0.38538538538538536,0.0
78,gga_x_pbe gga_c_pbe,1.135530838512152,0.39039039039039036,0.0
79,gga_x_pbe gga_c_pbe,1.13575989686215,0.39539539539539537,0.0
80,gga_x_pbe gga_c_pbe,1.1359955207844643,0.40040040040040037,0.0
81,gga_x_pbe gga_c_pbe,1.136237770304619,0.40540540540540543,0.0
82,gga_x_pbe gga_c_pbe,1.136486703301841,0.41041041041041043,0.0
83,gga_x_pbe gga_c_pbe,1.1367423755083224,0.41541541541541543,0.0
84,gga_x_pbe gga_c_pbe,1.137004840510403,0.42042042042042044,0.0
85,gga_x_pbe gga_c_pbe,1.1372741497515872,0.42542542542542544,0.0
86,gga_x_pbe gga_c_pbe,1.1375503525372992,0.43043043043043044,0.0
87,gga_x_pbe gga_c_pbe,1.1378334960413028,0.43543543543543545,0.0
88,gga_x_pbe gga_c_pbe,1.138123625313689,0.44044044044044045,0.0
89,gga_x_pbe gga_c_pbe,1.13842078329036,0.44544544544544545,0.0
